product,quantity,unit_price,date,client,total,month
Ruler,28.0,250.18,2024-06-05,"Adams, Smith and Sherman",7005.04,2024-06
Index cards,19.0,156.06,2024-05-18,Taylor-Juarez,2965.14,2024-05
Ruler,45.0,344.13,2024-10-07,Murphy-Williams,15485.85,2024-10
Lined notebooks or composition books,129.0,76.61,2024-05-15,Williams-Lee,9882.69,2024-05
Pencil case,101.0,422.95,2024-09-23,Williams-Stewart,42717.95,2024-09
Clipboard,138.0,109.87,2024-06-20,Garcia-Wright,15162.06,2024-06
#2 Pencil,50.0,256.21,2024-06-08,Henry LLC,12810.5,2024-06
Red pen,99.0,237.76,2025-04-08,"Mitchell, Roberts and Miles",23538.24,2025-04
Mechanical pencil,80.0,269.72,2024-05-19,Kennedy and Sons,21577.6,2024-05
Red pen,47.0,142.89,2025-05-05,"Frank, Haynes and Thomas",6715.83,2025-05
Pencil case,116.0,186.3,2025-02-23,"Warren, Reed and Campbell",21610.8,2025-02
Backpack,29.0,177.32,2024-08-03,Garza and Sons,5142.28,2024-08
Tablet,93.0,194.41,2024-06-04,Hoover-Clements,18080.13,2024-06
Folder,106.0,206.57,2025-03-11,Shah-Owen,21896.42,2025-03
Charger & extension cord,114.0,389.53,2025-04-11,Allen and Sons,44406.42,2025-04
Graph paper,14.0,359.76,2025-04-03,"Wood, Armstrong and Anderson",5036.64,2025-04
Graph paper,63.0,446.78,2025-02-22,Velez PLC,28147.14,2025-02
Tissues,133.0,146.91,2025-04-29,Decker-Holmes,19539.03,2025-04
Sticky notes,124.0,94.83,2025-02-09,Mueller-Ramirez,11758.92,2025-02
Crayons or watercolor paints,48.0,469.33,2024-07-23,"Herring, Neal and Gonzalez",22527.84,2024-07
Crayons or watercolor paints,51.0,191.8,2024-11-21,"Shaw, Warner and Wilson",9781.8,2024-11
Lunch box or bag,26.0,435.96,2024-12-22,Sampson-Ritter,11334.96,2024-12
Sticky notes,17.0,457.84,2024-08-03,"Delgado, Walker and Johnston",7783.28,2024-08
Blue pen,49.0,204.76,2025-03-14,Porter-Fuentes,10033.24,2025-03
Blue pen,88.0,366.07,2024-12-20,James and Sons,32214.16,2024-12
Clipboard,48.0,161.21,2024-07-18,Robinson LLC,7738.08,2024-07
Crayons or watercolor paints,113.0,298.14,2025-03-15,Williams-Moreno,33689.82,2025-03
Safety scissors,47.0,282.3,2024-10-30,"Martinez, Garcia and Curtis",13268.1,2024-10
Safety scissors,110.0,13.61,2024-12-31,Ramos-Pierce,1497.1,2024-12
Backpack,125.0,61.07,2025-01-12,"Martinez, Brown and Smith",7633.75,2025-01
Pencil case,104.0,197.92,2024-10-06,"Perez, Baker and Keller",20583.68,2024-10
Lab notebook,27.0,113.91,2024-12-24,"Williams, Macias and Cruz",3075.57,2024-12
Tablet,72.0,97.95,2025-01-19,Thomas Ltd,7052.4,2025-01
Art sketchbook,54.0,470.16,2024-05-10,Anderson Inc,25388.64,2024-05
Sticky notes,99.0,218.85,2025-04-07,"Trujillo, Chaney and Williams",21666.15,2025-04
Compass,89.0,374.29,2024-05-17,Brady Group,33311.81,2024-05
Tablet,140.0,378.71,2024-09-27,Hunter LLC,53019.4,2024-09
Loose-leaf paper,38.0,347.7,2025-02-02,Owens Inc,13212.6,2025-02
Hand sanitizer,123.0,190.25,2024-08-28,"Rogers, Barrera and Sims",23400.75,2024-08
Construction paper,47.0,466.55,2025-04-09,Shaffer LLC,21927.85,2025-04
Graph paper,20.0,23.46,2025-05-03,Gaines-Watson,469.2,2025-05
Headphones or earbuds,133.0,160.71,2025-01-29,Middleton-Cordova,21374.43,2025-01
Water bottle,90.0,475.03,2024-08-08,Dominguez-Garner,42752.7,2024-08
Blue pen,15.0,340.82,2025-03-07,Evans-Griffin,5112.3,2025-03
Folder,23.0,92.3,2024-11-26,Hamilton Ltd,2122.9,2024-11
Sticky notes,128.0,319.66,2025-04-23,Page Group,40916.48,2025-04
Tissues,61.0,417.64,2024-10-25,"Hopkins, Guerrero and Farrell",25476.04,2024-10
Folder,64.0,218.07,2024-12-03,Murphy and Sons,13956.48,2024-12
Safety scissors,33.0,290.91,2025-02-27,Davis-Castaneda,9600.03,2025-02
Index cards,29.0,170.68,2024-10-14,Figueroa and Sons,4949.72,2024-10
Highlighter,100.0,498.59,2024-07-01,Davis Inc,49859.0,2024-07
Compass,101.0,178.86,2025-02-12,Nelson PLC,18064.86,2025-02
Black pen,76.0,337.17,2025-04-20,"Stone, Jenkins and Smith",25624.92,2025-04
Tissues,104.0,220.85,2025-01-13,Macdonald-Cruz,22968.4,2025-01
Colored pencils,41.0,451.73,2025-03-29,"Williams, Campbell and Baker",18520.93,2025-03
page flags,19.0,94.2,2025-03-01,Hale-Pratt,1789.8,2025-03
Hand sanitizer,108.0,326.78,2025-04-27,Knight PLC,35292.24,2025-04
Tissues,132.0,160.71,2024-05-28,"Perry, Garrett and Young",21213.72,2024-05
Erasers,123.0,49.64,2024-10-22,Schwartz Group,6105.72,2024-10
Scientific calculator,35.0,423.46,2024-12-31,Waters Ltd,14821.1,2024-12
Backpack,143.0,374.54,2025-02-18,Lee LLC,53559.22,2025-02
Mechanical pencil,26.0,154.81,2024-09-13,"Hays, Carter and Bradshaw",4025.06,2024-09
Mechanical pencil,79.0,431.51,2024-11-10,"Little, Chen and Ward",34089.29,2024-11
Glue stick & liquid glue,67.0,479.5,2025-03-16,"Fields, Wallace and Flores",32126.5,2025-03
Scientific calculator,57.0,435.32,2024-09-02,Gray-Walters,24813.24,2024-09
3-ring binders,127.0,485.84,2024-09-18,Warren-Hampton,61701.68,2024-09
Lab notebook,36.0,192.34,2024-07-18,Brooks-Fleming,6924.24,2024-07
Ruler,12.0,264.54,2024-06-03,Thompson-Lloyd,3174.48,2024-06
Tissues,79.0,220.49,2025-02-24,Nunez-Lyons,17418.71,2025-02
Crayons or watercolor paints,71.0,227.07,2024-08-13,Morales LLC,16121.97,2024-08
Folder,122.0,246.54,2025-04-13,Johnson-Graham,30077.88,2025-04
Lab notebook,57.0,351.06,2025-03-02,"Wilson, Garrett and Gutierrez",20010.42,2025-03
Art sketchbook,100.0,452.39,2024-10-15,Newton Inc,45239.0,2024-10
Compass,130.0,373.62,2024-08-11,"Davidson, Stephens and Mason",48570.6,2024-08
Art sketchbook,63.0,88.93,2024-11-22,Lucas Inc,5602.59,2024-11
Headphones or earbuds,73.0,250.36,2025-04-10,Barrett Ltd,18276.28,2025-04
Red pen,128.0,112.38,2024-10-16,"Powers, Castaneda and Wheeler",14384.64,2024-10
Erasers,69.0,265.11,2024-08-04,Williams-Ellis,18292.59,2024-08
Mouse,73.0,10.25,2024-06-11,Peterson and Sons,748.25,2024-06
Highlighter,13.0,365.22,2025-04-25,"Thompson, Shelton and Taylor",4747.86,2025-04
Graph paper,28.0,444.52,2024-09-08,"Spence, Ward and Lindsey",12446.56,2024-09
Glue stick & liquid glue,53.0,395.27,2024-12-05,Smith Ltd,20949.31,2024-12
Construction paper,26.0,196.08,2024-05-17,Sanchez Group,5098.08,2024-05
Blue pen,17.0,469.15,2024-08-20,"Mercer, Sweeney and Johnson",7975.55,2024-08
Lunch box or bag,99.0,466.73,2025-01-22,Small LLC,46206.27,2025-01
Loose-leaf paper,51.0,46.3,2024-11-10,Moody PLC,2361.3,2024-11
Construction paper,13.0,239.22,2025-01-17,Sanders Inc,3109.86,2025-01
Black pen,115.0,27.96,2025-04-05,Hurley Ltd,3215.4,2025-04
Blue pen,97.0,170.12,2024-10-24,King-Conley,16501.64,2024-10
Water bottle,45.0,46.03,2024-12-30,Macias Inc,2071.35,2024-12
Art sketchbook,55.0,175.36,2024-07-28,Shaw LLC,9644.8,2024-07
Headphones or earbuds,135.0,329.18,2024-10-05,Sharp-Lam,44439.3,2024-10
Laptop,24.0,228.64,2024-11-13,"Hernandez, Harding and Pugh",5487.36,2024-11
Scientific calculator,98.0,199.27,2024-10-05,Miller Ltd,19528.46,2024-10
Art sketchbook,12.0,468.04,2024-06-19,Rocha-Powell,5616.48,2024-06
3-ring binders,34.0,283.33,2024-05-17,"Brown, Jones and Davis",9633.22,2024-05
Erasers,39.0,11.42,2024-11-25,"Johnson, Smith and Grant",445.38,2024-11
Highlighter,117.0,81.76,2024-10-10,"Phillips, Chavez and Torres",9565.92,2024-10
page flags,99.0,442.62,2024-08-14,Watts-Stone,43819.38,2024-08
Graph paper,108.0,162.25,2025-03-11,"Mcconnell, Richards and Nicholson",17523.0,2025-03
Pencil case,130.0,301.52,2024-12-06,Jackson-Williams,39197.6,2024-12
Water bottle,49.0,71.34,2024-08-16,Park and Sons,3495.66,2024-08
Charger & extension cord,67.0,482.82,2025-04-23,Chavez-Guerra,32348.94,2025-04
Water bottle,143.0,322.37,2024-08-06,"Cannon, Mccormick and Williams",46098.91,2024-08
Backpack,47.0,450.87,2024-11-25,Chambers-Lamb,21190.89,2024-11
Graphing calculator,76.0,251.7,2024-05-15,"Hall, Burgess and Ferguson",19129.2,2024-05
Tablet,129.0,167.13,2024-08-24,Mullen-Hernandez,21559.77,2024-08
Tissues,141.0,431.63,2025-05-10,"Peterson, Pena and Ramsey",60859.83,2025-05
Graph paper,72.0,146.67,2024-12-22,"Jackson, Singh and Zuniga",10560.24,2024-12
Sharpener,40.0,67.7,2024-12-06,Valdez Ltd,2708.0,2024-12
Glue stick & liquid glue,133.0,92.88,2025-01-28,Ferrell-Sims,12353.04,2025-01
Graphing calculator,56.0,201.73,2024-05-12,Sanchez-Maynard,11296.88,2024-05
Folder,21.0,93.44,2024-11-18,"Green, Murphy and Hill",1962.24,2024-11
Lab notebook,60.0,351.22,2024-12-13,Brown-Anderson,21073.2,2024-12
USB flash drive,27.0,192.73,2025-01-26,King PLC,5203.71,2025-01
Loose-leaf paper,92.0,183.38,2024-05-22,Coleman-Chan,16870.96,2024-05
Mouse,71.0,261.54,2024-06-09,Arroyo LLC,18569.34,2024-06
Clipboard,21.0,223.9,2024-08-09,"Nelson, Osborne and Davies",4701.9,2024-08
Black pen,120.0,41.44,2024-06-09,Bartlett Group,4972.8,2024-06
Graphing calculator,83.0,411.37,2024-08-01,Bruce Inc,34143.71,2024-08
Tissues,82.0,443.28,2024-10-30,Peters PLC,36348.96,2024-10
Tablet,135.0,321.46,2024-05-14,Peters-Thomas,43397.1,2024-05
Sticky notes,97.0,197.2,2024-06-20,Clarke-Simpson,19128.4,2024-06
markers,43.0,341.47,2024-07-22,"Nelson, Ruiz and Hunt",14683.21,2024-07
page flags,57.0,131.89,2024-07-13,Marks-Lopez,7517.73,2024-07
Clipboard,22.0,109.27,2024-09-12,Cole-Campbell,2403.94,2024-09
page flags,84.0,137.93,2025-03-13,Rivera PLC,11586.12,2025-03
Sticky notes,75.0,370.33,2025-04-09,"Young, Donovan and Gutierrez",27774.75,2025-04
markers,30.0,171.62,2024-10-12,"Jackson, Miller and Davis",5148.6,2024-10
Red pen,40.0,125.39,2024-06-22,Moreno PLC,5015.6,2024-06
Protractor,78.0,245.88,2024-09-01,"Adams, Palmer and Smith",19178.64,2024-09
Lab notebook,108.0,292.92,2024-08-15,"Gallegos, Hawkins and Compton",31635.36,2024-08
Construction paper,71.0,121.9,2024-12-06,Mercer Ltd,8654.9,2024-12
Lunch box or bag,86.0,420.13,2024-12-11,King and Sons,36131.18,2024-12
Mechanical pencil,73.0,391.3,2024-12-21,Davidson-Fleming,28564.9,2024-12
USB flash drive,118.0,231.89,2024-07-16,Moore-Collins,27363.02,2024-07
Water bottle,117.0,483.94,2025-02-08,"Davies, Francis and Winters",56620.98,2025-02
3-ring binders,122.0,436.81,2024-06-05,"York, Kelley and Williams",53290.82,2024-06
Mouse,130.0,193.34,2024-07-31,Romero Inc,25134.2,2024-07
Art sketchbook,86.0,254.47,2025-03-28,Harrison and Sons,21884.42,2025-03
Scientific calculator,70.0,469.86,2025-01-06,Lutz Ltd,32890.2,2025-01
Colored pencils,75.0,325.57,2025-04-21,Fischer-Sanders,24417.75,2025-04
Art sketchbook,34.0,454.0,2024-12-30,"Fox, Wilson and Harris",15436.0,2024-12
Hand sanitizer,78.0,167.75,2024-09-01,Reid Ltd,13084.5,2024-09
Blue pen,49.0,286.21,2024-12-04,"Beasley, Owens and Estrada",14024.29,2024-12
Compass,46.0,86.27,2024-07-16,Mosley-Hayes,3968.42,2024-07
Glue stick & liquid glue,77.0,256.43,2024-06-28,Lyons Ltd,19745.11,2024-06
Loose-leaf paper,92.0,124.93,2025-02-12,"Lane, Schaefer and Carson",11493.56,2025-02
Charger & extension cord,52.0,199.66,2025-05-02,Sanchez Group,10382.32,2025-05
Hand sanitizer,51.0,262.12,2025-02-05,Mcclain Group,13368.12,2025-02
3-ring binders,67.0,477.86,2024-09-10,Salinas-Romero,32016.62,2024-09
Lab notebook,47.0,431.84,2024-08-07,Frederick Ltd,20296.48,2024-08
Lunch box or bag,94.0,27.98,2024-12-09,Marshall-Miller,2630.12,2024-12
Dividers with tabs,135.0,93.61,2025-04-03,Richardson-Huang,12637.35,2025-04
Mouse,23.0,132.1,2024-07-21,Fitzgerald LLC,3038.3,2024-07
Sharpener,128.0,85.31,2024-07-21,"Taylor, Fuller and Nichols",10919.68,2024-07
Pencil case,13.0,199.15,2024-12-24,"Williams, Case and Christensen",2588.95,2024-12
Hand sanitizer,21.0,204.91,2024-09-07,"Reed, Ortega and Mahoney",4303.11,2024-09
Black pen,17.0,393.0,2025-03-16,Hudson Inc,6681.0,2025-03
page flags,138.0,438.13,2024-06-12,Walls PLC,60461.94,2024-06
Construction paper,20.0,370.7,2024-12-27,"Brown, Moody and Ramirez",7414.0,2024-12
Lab notebook,96.0,431.94,2024-07-17,"Glover, Munoz and Johnson",41466.24,2024-07
Art sketchbook,114.0,68.12,2024-07-25,"Stewart, Nguyen and Carr",7765.68,2024-07
Folder,73.0,199.73,2024-07-22,Smith Ltd,14580.29,2024-07
Tablet,67.0,160.51,2025-03-08,"Howard, Harris and Jones",10754.17,2025-03
Tablet,116.0,487.88,2024-05-25,Padilla-Franklin,56594.08,2024-05
Hand sanitizer,36.0,188.94,2024-07-04,"Williams, Macdonald and Jimenez",6801.84,2024-07
Hand sanitizer,114.0,264.57,2024-10-19,"Norton, Smith and Smith",30160.98,2024-10
Charger & extension cord,33.0,15.77,2024-12-06,Franco LLC,520.41,2024-12
Art sketchbook,90.0,191.79,2024-09-29,Mccall and Sons,17261.1,2024-09
Lab notebook,85.0,409.67,2024-12-28,Henderson Ltd,34821.95,2024-12
Safety scissors,62.0,335.15,2025-03-04,Wilson-Baker,20779.3,2025-03
Colored pencils,63.0,87.2,2025-03-07,Rodriguez-Nguyen,5493.6,2025-03
Tablet,115.0,66.48,2025-01-25,Hutchinson Ltd,7645.2,2025-01
Charger & extension cord,140.0,289.17,2025-04-24,Ramos Ltd,40483.8,2025-04
USB flash drive,70.0,143.69,2024-08-07,Bullock-Guerrero,10058.3,2024-08
Tablet,110.0,324.7,2024-06-16,Hart Group,35717.0,2024-06
Backpack,16.0,98.48,2025-02-12,Johnson-Schneider,1575.68,2025-02
Headphones or earbuds,53.0,456.89,2024-06-11,Summers and Sons,24215.17,2024-06
Protractor,53.0,189.24,2024-08-07,"Brown, Ramirez and Smith",10029.72,2024-08
Crayons or watercolor paints,79.0,133.22,2024-12-02,Baker-Moreno,10524.38,2024-12
Headphones or earbuds,127.0,192.22,2024-07-10,Gould and Sons,24411.94,2024-07
Highlighter,50.0,131.63,2024-09-14,Stanley-Stewart,6581.5,2024-09
Lunch box or bag,65.0,88.87,2025-01-30,Murillo Inc,5776.55,2025-01
page flags,75.0,460.73,2024-09-25,Fletcher-White,34554.75,2024-09
Erasers,33.0,302.41,2025-03-10,Holt-Bell,9979.53,2025-03
Sticky notes,26.0,395.44,2024-08-05,Patrick LLC,10281.44,2024-08
Headphones or earbuds,80.0,469.52,2024-07-24,"Rogers, Kline and Atkins",37561.6,2024-07
Charger & extension cord,34.0,338.96,2024-10-19,Cooper Group,11524.64,2024-10
Ruler,41.0,380.19,2024-08-23,Lewis and Sons,15587.79,2024-08
Clipboard,108.0,259.77,2024-11-01,Hill-Cobb,28055.16,2024-11
Lunch box or bag,21.0,127.12,2024-05-18,Fletcher and Sons,2669.52,2024-05
Art sketchbook,42.0,219.09,2024-07-18,"Gallegos, Morris and Villanueva",9201.78,2024-07
Safety scissors,44.0,23.14,2025-03-01,James PLC,1018.16,2025-03
Mechanical pencil,12.0,37.68,2024-11-07,Beasley PLC,452.16,2024-11
Erasers,35.0,19.89,2024-08-10,"Woodard, Henderson and Carter",696.15,2024-08
page flags,38.0,474.78,2024-10-23,Maxwell Ltd,18041.64,2024-10
Charger & extension cord,16.0,268.68,2024-08-13,"Hodges, Freeman and Molina",4298.88,2024-08
Erasers,15.0,93.61,2025-04-06,Warren-Floyd,1404.15,2025-04
3-ring binders,120.0,14.5,2024-09-27,White-Ross,1740.0,2024-09
Water bottle,39.0,259.05,2024-09-21,Underwood-James,10102.95,2024-09
Tissues,31.0,159.52,2024-12-17,Sherman PLC,4945.12,2024-12
Colored pencils,52.0,87.11,2024-08-26,Reynolds Inc,4529.72,2024-08
Hand sanitizer,97.0,100.5,2025-05-07,Mclaughlin and Sons,9748.5,2025-05
Water bottle,53.0,447.37,2024-08-04,"Rice, Jackson and Johnson",23710.61,2024-08
markers,110.0,48.92,2024-10-11,"Dixon, Sanders and Jones",5381.2,2024-10
Mechanical pencil,39.0,338.64,2024-08-01,"Farmer, Rowe and Edwards",13206.96,2024-08
Sticky notes,34.0,379.0,2024-11-25,"Mcintyre, Arias and Boyd",12886.0,2024-11
Erasers,53.0,391.25,2025-05-03,Cook-Rhodes,20736.25,2025-05
Crayons or watercolor paints,84.0,303.11,2024-05-26,Hernandez-Gonzalez,25461.24,2024-05
Tissues,127.0,53.45,2025-04-23,"Castillo, Russell and Garcia",6788.15,2025-04
Headphones or earbuds,59.0,193.73,2024-09-20,Torres and Sons,11430.07,2024-09
Mouse,120.0,156.03,2024-09-05,Cox-Donaldson,18723.6,2024-09
USB flash drive,126.0,200.86,2024-11-24,Fitzgerald Inc,25308.36,2024-11
Art sketchbook,93.0,245.22,2024-11-11,Valenzuela Inc,22805.46,2024-11
Compass,140.0,80.75,2025-02-08,Wood-Guerra,11305.0,2025-02
Backpack,91.0,194.74,2024-08-01,Spencer Group,17721.34,2024-08
Compass,45.0,229.33,2025-04-26,Clark-Smith,10319.85,2025-04
Art sketchbook,13.0,33.87,2024-10-16,"Fischer, Ball and Johns",440.31,2024-10
Protractor,134.0,183.41,2025-03-05,Cobb-Williams,24576.94,2025-03
Safety scissors,56.0,309.04,2025-04-02,"Walker, Hughes and Klein",17306.24,2025-04
Crayons or watercolor paints,69.0,332.37,2025-02-18,"Mason, Rodriguez and Wood",22933.53,2025-02
Headphones or earbuds,26.0,164.91,2024-06-03,Long and Sons,4287.66,2024-06
Lined notebooks or composition books,110.0,420.67,2025-03-02,Lewis Ltd,46273.7,2025-03
Headphones or earbuds,55.0,352.27,2025-04-23,Arellano Group,19374.85,2025-04
Water bottle,38.0,58.0,2024-09-25,Young-Jackson,2204.0,2024-09
Lined notebooks or composition books,96.0,420.98,2025-01-22,"Wang, Kelley and Calderon",40414.08,2025-01
Safety scissors,91.0,301.38,2025-04-16,"Griffin, Zamora and Duarte",27425.58,2025-04
Black pen,132.0,434.69,2024-12-27,"Johnson, Thomas and Ford",57379.08,2024-12
Lunch box or bag,75.0,33.7,2024-10-11,Rhodes LLC,2527.5,2024-10
Erasers,100.0,134.2,2024-09-08,Wu-Singleton,13420.0,2024-09
Colored pencils,87.0,401.33,2024-10-04,Patel PLC,34915.71,2024-10
markers,106.0,213.15,2024-07-21,"Rogers, Mcfarland and Jacobs",22593.9,2024-07
Folder,92.0,240.35,2025-01-12,Lopez-Glenn,22112.2,2025-01
Construction paper,85.0,226.65,2024-09-24,Keller-Mason,19265.25,2024-09
Colored pencils,134.0,97.38,2024-06-27,Johnston Group,13048.92,2024-06
Tissues,118.0,42.98,2024-06-20,"Rodriguez, Snyder and Green",5071.64,2024-06
Glue stick & liquid glue,107.0,13.77,2024-05-24,Garcia Ltd,1473.39,2024-05
Loose-leaf paper,120.0,480.67,2025-03-10,Hopkins Inc,57680.4,2025-03
Erasers,119.0,389.61,2024-05-14,Craig Group,46363.59,2024-05
Colored pencils,43.0,383.73,2024-09-22,Wolf-Lindsey,16500.39,2024-09
Protractor,18.0,302.72,2024-09-11,Rodriguez PLC,5448.96,2024-09
Sticky notes,52.0,68.35,2024-06-11,Giles Inc,3554.2,2024-06
Hand sanitizer,64.0,432.83,2024-09-07,"Martin, Cline and Lynch",27701.12,2024-09
Blue pen,19.0,326.66,2024-07-14,Russo-Keller,6206.54,2024-07
Erasers,122.0,27.44,2025-04-29,"Brown, Stewart and Rivas",3347.68,2025-04
USB flash drive,54.0,76.73,2024-05-29,Guerra LLC,4143.42,2024-05
Charger & extension cord,98.0,282.2,2025-01-14,Vasquez-Bishop,27655.6,2025-01
Index cards,27.0,59.06,2024-09-15,Smith-Davis,1594.62,2024-09
Pencil case,79.0,72.86,2024-08-13,"Melton, Jones and Jones",5755.94,2024-08
Compass,65.0,109.25,2025-03-18,Church Inc,7101.25,2025-03
Water bottle,40.0,299.49,2025-03-17,Webb Group,11979.6,2025-03
Pencil pouch,65.0,290.7,2025-02-10,"Diaz, Salinas and Wheeler",18895.5,2025-02
Pencil case,59.0,313.35,2024-07-22,Baker Ltd,18487.65,2024-07
Colored pencils,12.0,436.12,2024-06-02,"Hill, Nelson and Gillespie",5233.44,2024-06
Pencil case,105.0,462.3,2024-12-06,Adams Ltd,48541.5,2024-12
